00:05.025  render           | Time: 00:00.09 (Saving: 00:00.01)
00:05.025  render           | Rendering frame 78
00:05.025  render           | Executing sequencer
00:05.150  render           | Video append frame 78
00:05.150  render           | Time: 00:00.12 (Saving: 00:00.02)
00:05.150  render           | Rendering frame 79
00:05.151  render           | Executing sequencer
00:05.315  render           | Video append frame 79
00:05.315  render           | Time: 00:00.16 (Saving: 00:00.00)
00:05.315  render           | Rendering frame 80
00:05.315  render           | Executing sequencer
00:05.364  render           | Video append frame 80
00:05.364  render           | Time: 00:00.04 (Saving: 00:00.00)
00:05.364  render           | Rendering frame 81
00:05.365  render           | Executing sequencer
00:05.406  render           | Video append frame 81
00:05.406  render           | Time: 00:00.04 (Saving: 00:00.00)
00:05.406  render           | Rendering frame 82
00:05.407  render           | Executing sequencer
00:05.443  render           | Video append frame 82
00:05.444  render           | Time: 00:00.03 (Saving: 00:00.00)
00:05.444  render           | Rendering frame 83
00:05.444  render           | Executing sequencer
00:05.480  render           | Video append frame 83
00:05.480  render           | Time: 00:00.03 (Saving: 00:00.00)
00:05.480  render           | Rendering frame 84
00:05.481  render           | Executing sequencer
00:05.524  render           | Video append frame 84
00:05.524  render           | Time: 00:00.04 (Saving: 00:00.00)
00:05.524  render           | Rendering frame 85
00:05.524  render           | Executing sequencer
00:05.559  render           | Video append frame 85
00:05.559  render           | Time: 00:00.03 (Saving: 00:00.00)
00:05.559  render           | Rendering frame 86
00:05.560  render           | Executing sequencer
00:05.600  render           | Video append frame 86
00:05.600  render           | Time: 00:00.04 (Saving: 00:00.00)
00:05.600  render           | Rendering frame 87
00:05.600  render           | Executing sequencer
00:05.638  render           | Video append frame 87
00:05.638  render           | Time: 00:00.03 (Saving: 00:00.00)
00:05.638  render           | Rendering frame 88
00:05.639  render           | Executing sequencer
00:05.681  render           | Video append frame 88
00:05.681  render           | Time: 00:00.04 (Saving: 00:00.00)
00:05.681  render           | Rendering frame 89
00:05.682  render           | Executing sequencer
00:05.722  render           | Video append frame 89
00:05.722  render           | Time: 00:00.03 (Saving: 00:00.00)
00:05.722  render           | Rendering frame 90
00:05.722  render           | Executing sequencer
00:05.764  render           | Video append frame 90
00:05.764  render           | Time: 00:00.04 (Saving: 00:00.00)
00:05.764  render           | Rendering frame 91
00:05.764  render           | Executing sequencer
00:05.804  render           | Video append frame 91
00:05.804  render           | Time: 00:00.03 (Saving: 00:00.00)
00:05.805  render           | Rendering frame 92
00:05.806  render           | Executing sequencer
00:05.843  render           | Video append frame 92
00:05.843  render           | Time: 00:00.03 (Saving: 00:00.01)
00:05.843  render           | Rendering frame 93
00:05.844  render           | Executing sequencer
00:05.890  render           | Video append frame 93
00:05.890  render           | Time: 00:00.04 (Saving: 00:00.00)
00:05.890  render           | Rendering frame 94
00:05.891  render           | Executing sequencer
00:05.934  render           | Video append frame 94
00:05.934  render           | Time: 00:00.04 (Saving: 00:00.00)
00:05.934  render           | Rendering frame 95
00:05.934  render           | Executing sequencer
00:05.978  render           | Video append frame 95
00:05.978  render           | Time: 00:00.04 (Saving: 00:00.01)
00:05.978  render           | Rendering frame 96
00:05.980  render           | Executing sequencer
00:06.023  render           | Video append frame 96
00:06.024  render           | Time: 00:00.04 (Saving: 00:00.00)
00:06.027  render           | Rendering frame 97
00:06.028  render           | Executing sequencer
00:06.063  render           | Video append frame 97
00:06.063  render           | Time: 00:00.03 (Saving: 00:00.00)
00:06.063  render           | Rendering frame 98
00:06.064  render           | Executing sequencer
00:06.102  render           | Video append frame 98
00:06.102  render           | Time: 00:00.03 (Saving: 00:00.00)
00:06.102  render           | Rendering frame 99
00:06.103  render           | Executing sequencer
00:06.147  render           | Video append frame 99
00:06.147  render           | Time: 00:00.04 (Saving: 00:00.00)
00:06.147  render           | Rendering frame 100
00:06.147  render           | Executing sequencer
00:06.181  render           | Video append frame 100
00:06.181  render           | Time: 00:00.03 (Saving: 00:00.00)
00:06.181  render           | Rendering frame 101
00:06.182  render           | Executing sequencer
00:06.218  render           | Video append frame 101
00:06.218  render           | Time: 00:00.03 (Saving: 00:00.00)
00:06.218  render           | Rendering frame 102
00:06.219  render           | Executing sequencer
00:06.257  render           | Video append frame 102
00:06.257  render           | Time: 00:00.03 (Saving: 00:00.00)
00:06.257  render           | Rendering frame 103
00:06.257  render           | Executing sequencer
00:06.277  render           | Video append frame 103
00:06.277  render           | Time: 00:00.01 (Saving: 00:00.00)
00:06.277  render           | Rendering frame 104
00:06.278  render           | Executing sequencer
00:06.301  render           | Video append frame 104
00:06.301  render           | Time: 00:00.02 (Saving: 00:00.00)
00:06.301  render           | Rendering frame 105
00:06.302  render           | Executing sequencer
00:06.320  render           | Video append frame 105
00:06.320  render           | Time: 00:00.01 (Saving: 00:00.00)
00:06.320  render           | Rendering frame 106
00:06.322  render           | Executing sequencer
00:06.380  render           | Video append frame 106
00:06.380  render           | Time: 00:00.05 (Saving: 00:00.00)
00:06.380  render           | Rendering frame 107
00:06.381  render           | Executing sequencer
00:06.431  render           | Video append frame 107
00:06.431  render           | Time: 00:00.05 (Saving: 00:00.00)
00:06.431  render           | Rendering frame 108
00:06.432  render           | Executing sequencer
00:06.484  render           | Video append frame 108
00:06.484  render           | Time: 00:00.05 (Saving: 00:00.00)
00:06.484  render           | Rendering frame 109
00:06.485  render           | Executing sequencer
00:06.539  render           | Video append frame 109
00:06.539  render           | Time: 00:00.05 (Saving: 00:00.00)
00:06.540  render           | Rendering frame 110
00:06.541  render           | Executing sequencer
00:06.603  render           | Video append frame 110
00:06.603  render           | Time: 00:00.06 (Saving: 00:00.00)
00:06.603  render           | Rendering frame 111
00:06.604  render           | Executing sequencer
00:06.669  render           | Video append frame 111
